Objects
100
,,Global Angle LEDS:LEDS,,,,,,Global Angle Reflective Balls:Reflective Balls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
113,0,0.022215,0.008788,0.270800,-81.515808,-90.798347,1367.471191,0.033328,0.005428,0.274168,-81.201546,-89.211067,1366.678833
114,0,0.022044,0.005729,0.270427,-82.423607,-90.956978,1367.379883,0.032376,0.005357,0.275068,-82.026085,-89.320755,1366.638306
115,0,0.029276,0.005258,0.275214,-83.294395,-91.010208,1367.211670,0.032354,0.005523,0.275606,-82.842422,-89.418312,1366.567993
116,0,0.021529,-0.005778,0.274533,-84.105965,-90.967789,1367.214722,0.031725,0.004603,0.276232,-83.602135,-89.498444,1366.521973
117,0,0.021380,-0.004746,0.269630,-85.002655,-90.979691,1367.232178,0.032370,0.004876,0.277145,-84.451195,-89.522705,1366.595337
118,0,0.018618,-0.005174,0.271035,-85.594406,-90.958351,1367.193970,0.030265,0.003854,0.276777,-85.179230,-89.581825,1366.555054
119,0,0.023631,0.007626,0.269050,-86.284821,-90.977020,1367.417725,0.029319,0.004752,0.276736,-85.937210,-89.578445,1366.640503
120,0,0.021982,0.004145,0.271606,-87.138344,-91.040604,1367.501343,0.029268,0.003531,0.277543,-86.640114,-89.537086,1366.621338
121,0,0.017348,0.002195,0.271244,-87.816238,-91.340240,1367.449585,0.028692,0.003766,0.277751,-87.358749,-89.538956,1366.687622
122,0,0.017110,-0.007726,0.275218,-88.443169,-91.327309,1367.318237,0.027835,0.003517,0.277673,-88.045685,-89.521622,1366.776367
123,0,0.011633,-0.009284,0.275691,-89.135750,-91.013779,1367.353149,0.027466,0.002661,0.278965,-88.765739,-89.423492,1366.890503
124,0,0.012271,-0.010336,0.274600,-89.833458,-90.904953,1367.474487,0.027139,0.002710,0.279254,-89.450394,-89.381508,1366.973633
125,0,0.011101,-0.005543,0.271467,-90.434387,-90.711754,1367.735229,0.026679,0.002659,0.279332,-90.057594,-89.275017,1367.086914
126,0,0.013486,-0.005069,0.274119,-91.043060,-90.716743,1367.846191,0.025744,0.003689,0.278336,-90.593048,-89.250153,1367.182617
127,0,-0.107720,0.004756,3.412460,-91.666534,-90.668915,1368.107544,0.024833,0.004976,0.277862,-91.181984,-89.196533,1367.358521
128,0,-0.105756,0.002635,3.412828,-92.215973,-90.610954,1368.297729,0.024797,0.004237,0.277865,-91.728127,-89.118744,1367.490112
129,0,-0.101061,0.009038,3.411080,-92.703255,-90.763725,1368.435059,0.023269,0.004037,0.277267,-92.357277,-89.015923,1367.712769
130,0,0.009900,0.002324,0.272845,-93.294647,-90.620064,1368.596436,0.022780,0.004155,0.277591,-92.907814,-88.949196,1367.853882
131,0,0.012489,0.004314,0.275199,-93.662544,-90.597015,1368.691284,0.022656,0.004606,0.277854,-93.429413,-88.892075,1367.998413
132,0,0.013334,-0.002823,0.278377,-94.270058,-90.404610,1368.634644,0.023941,0.005133,0.278381,-93.851501,-88.849190,1368.054565
133,0,0.013106,-0.005216,0.279559,-94.705894,-90.464851,1368.790771,0.023871,0.005313,0.278363,-94.335060,-88.752388,1368.170044
134,0,0.012854,-0.003983,0.279094,-95.177307,-90.307220,1368.920044,0.023394,0.005386,0.278275,-94.807327,-88.678696,1368.318237
135,0,0.008251,-0.006610,0.276690,-95.729431,-90.080315,1369.034058,0.023402,0.005545,0.277773,-95.245056,-88.572197,1368.405151
136,0,0.009778,-0.005190,0.274744,-96.149399,-89.894096,1369.143677,0.022631,0.006012,0.277317,-95.672516,-88.529121,1368.540649
137,0,0.010755,-0.000404,0.273414,-96.588470,-89.681664,1369.319336,0.022390,0.006428,0.276934,-96.122253,-88.428955,1368.615601
138,0,0.009868,-0.000715,0.274840,-97.004112,-89.619202,1369.340454,0.022403,0.006751,0.276731,-96.552490,-88.347015,1368.683350
139,0,0.009294,0.004706,0.271855,-97.426300,-89.519569,1369.557739,0.022033,0.007448,0.276742,-96.958084,-88.245583,1368.739380
